"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Funciones\Acerca\hogar-acerca-de.php", "PHP", 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 389
"c:\xampp\htdocs\Funciones\Administrativo\agregar-mision-vision.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 107
"c:\xampp\htdocs\Funciones\Administrativo\hogar-administrativos.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 177
"c:\xampp\htdocs\Funciones\Administrativo\menu-acciones-administrativos.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\xampp\htdocs\Funciones\Administrativo\reporte-administrativo.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 78
"c:\xampp\htdocs\Funciones\Configuracion\hogar-configuraciones.php", "PHP", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 211
"c:\xampp\htdocs\Funciones\Contrato\agregar-contratos.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 106
"c:\xampp\htdocs\Funciones\Contrato\borrar-contrato.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\xampp\htdocs\Funciones\Contrato\eliminar-contratos.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
"c:\xampp\htdocs\Funciones\Contrato\hogar-contratos.php", "PHP", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 147
"c:\xampp\htdocs\Funciones\Contrato\ingresar-contrato.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 34
"c:\xampp\htdocs\Funciones\Contrato\menu-acciones-contrato.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\xampp\htdocs\Funciones\Estudiante\agregar-estudiantes-1c.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 136
"c:\xampp\htdocs\Funciones\Estudiante\agregar-estudiantes-2c.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 136
"c:\xampp\htdocs\Funciones\Estudiante\borrar-estudiante.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\xampp\htdocs\Funciones\Estudiante\buscar-estudiante-2.php", "PHP", 141, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 166
"c:\xampp\htdocs\Funciones\Estudiante\consultar-estudiantes-2c.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"c:\xampp\htdocs\Funciones\Estudiante\consultar-estudiantes.php", "PHP", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 145
"c:\xampp\htdocs\Funciones\Estudiante\decision-actualizar-estudiantes copy.php", "PHP", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 145
"c:\xampp\htdocs\Funciones\Estudiante\decision-agregar-estudiantes.php", "PHP", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 145
"c:\xampp\htdocs\Funciones\Estudiante\eliminar-estudiantes.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
"c:\xampp\htdocs\Funciones\Estudiante\hogar-estudiantes.php", "PHP", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 208
"c:\xampp\htdocs\Funciones\Estudiante\ingresar-estudiantes-1.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 55
"c:\xampp\htdocs\Funciones\Estudiante\ingresar-estudiantes-2.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 58
"c:\xampp\htdocs\Funciones\Estudiante\menu-acciones-estudiante.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\xampp\htdocs\Funciones\Estudiante\reporte-estudiante-hogar.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 128
