Date : 2024-08-01 12:12:32
Directory : c:\xampp\htdocs
Total : 536 files,  105411 codes, 19972 comments, 15224 blanks, all 140607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        384 |     55,797 |     16,714 |     10,186 |     82,697 |
| JavaScript |         12 |     23,042 |      2,372 |      2,970 |     28,384 |
| XML        |         78 |     15,500 |         75 |         75 |     15,650 |
| JSON       |         13 |      3,460 |          0 |          6 |      3,466 |
| CSS        |         31 |      3,341 |        170 |        645 |      4,156 |
| SQL        |          2 |      2,708 |        641 |        854 |      4,203 |
| Markdown   |         14 |      1,511 |          0 |        478 |      1,989 |
| YAML       |          1 |         35 |          0 |         10 |         45 |
| HTML       |          1 |         17 |          0 |          0 |         17 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        536 |    105,411 |     19,972 |     15,224 |    140,607 |
| . (Files)                                                                                                      |          4 |        180 |         13 |         47 |        240 |
| Funciones                                                                                                      |        167 |     15,825 |        268 |      1,489 |     17,582 |
| Funciones (Files)                                                                                              |          9 |        235 |         15 |         88 |        338 |
| Funciones\Acerca                                                                                               |          1 |        375 |          0 |         14 |        389 |
| Funciones\Administrativo                                                                                       |          4 |        338 |          2 |         37 |        377 |
| Funciones\Configuracion                                                                                        |          1 |        203 |          0 |          8 |        211 |
| Funciones\Contrato                                                                                             |          6 |        382 |          1 |         43 |        426 |
| Funciones\Estudiante                                                                                           |         16 |      1,567 |         10 |        147 |      1,724 |
| Funciones\Formularios                                                                                          |          7 |        168 |          0 |          6 |        174 |
| Funciones\Formularios (Files)                                                                                  |          5 |        144 |          0 |          6 |        150 |
| Funciones\Formularios\Unicos                                                                                   |          2 |         24 |          0 |          0 |         24 |
| Funciones\Hogar                                                                                                |          2 |        137 |          1 |         17 |        155 |
| Funciones\Login                                                                                                |          4 |        257 |          0 |         41 |        298 |
| Funciones\Materia                                                                                              |         14 |      1,257 |          2 |         84 |      1,343 |
| Funciones\Matricula                                                                                            |          6 |        420 |          1 |         43 |        464 |
| Funciones\Mensualidad                                                                                          |          6 |        425 |          1 |         41 |        467 |
| Funciones\Mirai                                                                                                |          4 |      1,861 |          0 |         72 |      1,933 |
| Funciones\Nota                                                                                                 |         16 |      1,524 |         14 |        161 |      1,699 |
| Funciones\Parroquia                                                                                            |         22 |      2,073 |          4 |        130 |      2,207 |
